Inconsistent Star Records: 
The following [6796] records are dropped because same [name] [birthYear] exist in the database
Star Details - Name:May Wynn, BirthYear:1931.
Star Details - Name:John Lithgow, BirthYear:.
Star Details - Name:Charlie Barnett, BirthYear:.
Star Details - Name:Gary Brockette, BirthYear:.
Star Details - Name:Willem Defoe, BirthYear:.
Star Details - Name:Harold Ramis, BirthYear:.
Star Details - Name:Charles Belcher, BirthYear:.
Star Details - Name:Jack Mason, BirthYear:.
Star Details - Name:Linda Scruggs, BirthYear:.
Star Details - Name:Dorothy Peterson, BirthYear:1900.
Star Details - Name:Divine, BirthYear:.
Star Details - Name:Saul Rubinek, BirthYear:.
Star Details - Name:Vanessa Redgrave, BirthYear:1937.
Star Details - Name:Gummo Marx, BirthYear:1893.
Star Details - Name:Gary Grimes, BirthYear:1955.
Star Details - Name:Ernest Thesiger, BirthYear:1879.
Star Details - Name:Brian Dennehy, BirthYear:1940.
Star Details - Name:Nathalie Baye, BirthYear:.
Star Details - Name:Aretha Franklin, BirthYear:.
Star Details - Name:Timothy Watson, BirthYear:.
Star Details - Name:Eileen Brennan, BirthYear:1935.
Star Details - Name:Tom Filer, BirthYear:.
Star Details - Name:Ann Stephens, BirthYear:1931.
Star Details - Name:Eve Arden, BirthYear:1912.
Star Details - Name:Helen Broderick, BirthYear:1890.
Star Details - Name:Sabu, BirthYear:1924.
Star Details - Name:Giancarlo Giannini, BirthYear:1942.
Star Details - Name:George Rivero, BirthYear:.
Star Details - Name:Arthur Space, BirthYear:1908.
Star Details - Name:Serge Gainsbourg, BirthYear:.
Star Details - Name:Marla Landi, BirthYear:1937.
Star Details - Name:Noah Beery~jr., BirthYear:1913.
Star Details - Name:Winona Ryder, BirthYear:1971.
Star Details - Name:Conrad Nagel, BirthYear:1896.
Star Details - Name:Isabelle Adjani, BirthYear:1955.
Star Details - Name:Madeleine Robinson, BirthYear:1916.
Star Details - Name:Alwyn Kurts, BirthYear:.
Star Details - Name:Gustav Grundgens, BirthYear:.
Star Details - Name:Jim Moody, BirthYear:.
Star Details - Name:Francis Ford Coppola, BirthYear:1939.
Star Details - Name:Diana Scarwid, BirthYear:.
Star Details - Name:Charles Kay, BirthYear:.
Star Details - Name:William Redfield, BirthYear:.
Star Details - Name:Gene Reynolds, BirthYear:1925.
Star Details - Name:Ronald Adam, BirthYear:1896.
Star Details - Name:Nancy Loomis, BirthYear:.
Star Details - Name:Juliet Mills, BirthYear:1941.
Star Details - Name:Dora Bryan, BirthYear:1923.
Star Details - Name:Bill McKinney, BirthYear:.
Star Details - Name:Anthony Caruso, BirthYear:1913.
Star Details - Name:Dame Margaret Rutherford, BirthYear:1892.
Star Details - Name:Tony Britton, BirthYear:1925.
Star Details - Name:Frank deKova, BirthYear:.
Star Details - Name:Julie Walter, BirthYear:.
Star Details - Name:Ruth Roland, BirthYear:1893.
